title,rating,price,stock,category
The Undomestic Goddess,4,45.75,3,Womens Fiction
The Travelers,1,15.77,3,Thriller
The Thing About Jellyfish,1,48.77,3,Childrens
The Stand,2,57.86,3,Horror
The Smitten Kitchen Cookbook,1,23.59,3,Food and Drink
The Silkworm (Cormoran Strike #2),5,23.05,3,Mystery
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",5,55.55,3,Sequential Art
The Rose & the Dagger (The Wrath and the Dawn #2),4,58.64,3,Fantasy
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,3,Travel
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),3,42.57,3,Biography
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),1,10.92,3,Science Fiction
The Rest Is Noise: Listening to the Twentieth Century,1,34.77,3,Add a comment
The Red Tent,5,35.66,3,Historical Fiction
The Purpose Driven Life: What on Earth Am I Here for?,3,37.19,3,Add a comment
The Purest Hook (Second Circle Tattoos #3),1,12.25,3,Romance
The Picture of Dorian Gray,2,29.7,3,Classics
The Paris Wife,3,36.8,3,Default
The Tipping Point: How Little Things Can Make a Big Difference,2,10.02,3,Add a comment
The Obsession,1,45.43,3,Romance
The Nightingale,4,26.26,3,Fiction
The New Guy (and Other Senior Year Distractions),3,44.92,3,Young Adult
The Nanny Diaries (Nanny #1),5,52.53,3,Womens Fiction
The Name of God is Mercy,2,37.25,3,Nonfiction
The Maze Runner (The Maze Runner #1),1,20.93,3,Default
The Lover's Dictionary,2,58.09,3,Default
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,3,33.92,3,Business
The Last Painting of Sara de Vos,2,55.55,3,Historical Fiction
"The Land of 10,000 Madonnas",4,29.64,3,Young Adult
The Infinities,1,27.41,3,Fiction
The Husband's Secret,5,52.51,3,Fiction
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),3,47.8,3,Add a comment
The Guns of August,2,14.54,3,History
The Lonely Ones,5,43.59,3,Childrens
The Girl with All the Gifts,3,49.47,3,Horror
The Exiled,3,43.45,3,Mystery
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),1,57.48,3,Add a comment
The Girl Who Played with Fire (Millennium Trilogy #2),2,22.14,3,Default
The Giver (The Giver Quartet #1),1,12.3,3,Default
The Goldfinch,3,43.58,3,Default
The Guernsey Literary and Potato Peel Pie Society,1,49.53,3,Historical Fiction
"The End of Faith: Religion, Terror, and the Future of Reason",4,22.13,3,Add a comment
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",5,57.35,3,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",4,13.03,3,Science
The Devil Wears Prada (The Devil Wears Prada #1),1,44.29,3,Womens Fiction
The Demon-Haunted World: Science as a Candle in the Dark,4,52.25,3,Default
The Day the Crayons Came Home (Crayons),5,26.33,3,Childrens
The Da Vinci Code (Robert Langdon #2),2,22.96,3,Fiction
The Cuckoo's Calling (Cormoran Strike #1),1,19.21,3,Mystery
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),4,26.78,3,Classics
The Complete Poems,5,41.32,3,Add a comment
The Cat in the Hat (Beginner Books B-1),2,16.26,3,Childrens
The Catcher in the Rye,1,24.55,3,Add a comment
The Case for Christ (Cases for Christianity),1,47.84,3,Add a comment
The Book of Basketball: The NBA According to The Sports Guy,5,44.84,3,Sports and Games
The Autobiography of Malcolm X,2,23.43,3,Default
The Book Thief,2,53.49,3,Default
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",3,34.32,3,Food and Drink
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",2,25.83,3,Science
The Art of Fielding,1,22.1,3,Fiction
Stiff: The Curious Lives of Human Cadavers,3,36.74,3,Nonfiction
Something Borrowed (Darcy & Rachel #1),5,48.96,3,Womens Fiction
Spilled Milk: Based on a True Story,1,49.51,3,Nonfiction
Something Blue (Darcy & Rachel #2),1,54.62,3,Womens Fiction
The Blind Side: Evolution of a Game,5,53.71,3,Add a comment
Soldier (Talon #3),2,24.72,3,Fantasy
Shopaholic & Baby (Shopaholic #5),2,46.45,3,Default
Seven Days in the Art World,2,52.33,3,Add a comment
Seven Brief Lessons on Physics,4,30.6,3,Science
Scarlet (The Lunar Chronicles #2),4,14.57,3,Young Adult
Sarah's Key,1,46.29,3,Add a comment
"Saga, Volume 3 (Saga (Collected Editions) #3)",5,21.57,3,Sequential Art
Rogue Lawyer (Rogue Lawyer #1),3,50.11,3,Add a comment
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",4,41.67,3,Nonfiction
Rework,2,44.88,3,Business
Reservations for Two,3,11.1,3,Romance
Red: The True Story of Red Riding Hood,3,28.54,3,Childrens
Ready Player One,4,19.07,3,Science Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,1,43.55,3,Default
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),3,43.63,3,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),1,39.13,3,Sequential Art
Packing for Mars: The Curious Science of Life in the Void,2,56.68,3,Default
Original Fake,3,31.45,3,Sequential Art
Outliers: The Story of Success,1,14.16,3,Nonfiction
Orange Is the New Black,2,24.61,3,Default
One for the Money (Stephanie Plum #1),2,32.87,3,Default
Notes from a Small Island (Notes From a Small Island #1),1,40.17,3,Nonfiction
Night (The Night Trilogy #1),1,13.51,3,Nonfiction
Neither Here nor There: Travels in Europe,3,38.95,3,Travel
Naked,3,31.69,3,Humor
Morning Star (Red Rising #3),1,29.4,3,Default
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",1,57.83,3,Nonfiction
Midnight Riot (Peter Grant/ Rivers of London - books #1),2,55.46,3,Fantasy
Me Talk Pretty One Day,2,57.6,3,Autobiography
Manuscript Found in Accra,2,34.98,3,Add a comment
Lust & Wonder,2,11.87,3,Autobiography
Lila (Gilead #3),3,12.47,3,Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",2,33.26,3,Science Fiction
Running with Scissors,4,12.91,3,Autobiography
Life Without a Recipe,5,59.04,3,Autobiography
Life After Life,2,26.13,3,Default
Letter to a Christian Nation,1,22.2,3,Nonfiction
Let's Pretend This Never Happened: A Mostly True Memoir,1,45.11,3,Nonfiction
Legend (Legend #1),4,43.69,3,Young Adult
"Lean In: Women, Work, and the Will to Lead",1,25.02,3,Default
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",5,55.5,3,Humor
Jurassic Park (Jurassic Park #1),1,44.97,3,Fiction
Lady Renegades (Rebel Belle #3),5,53.04,3,Young Adult
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,1,42.38,3,Nonfiction
Is Everyone Hanging Out Without Me? (And Other Concerns),3,20.11,3,Default
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",3,28.85,3,Nonfiction
Into the Wild,5,56.7,3,Nonfiction
Inferno (Robert Langdon #4),5,41.0,3,Fiction
If I Run (If I Run #1),4,49.97,3,Christian Fiction
I've Got Your Number,1,19.69,3,Womens Fiction
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,3,33.14,3,Food and Drink
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",2,43.7,3,History
House of Leaves,1,54.89,3,Horror
Horrible Bear!,2,37.52,3,Childrens
Holidays on Ice,2,51.07,3,Humor
Heir to the Sky,4,44.07,3,Fantasy
Green Eggs and Ham (Beginner Books B-16),4,10.79,3,Childrens
"Grayson, Vol 3: Nemesis (Grayson #3)",1,42.72,3,Sequential Art
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,2,28.88,3,Nonfiction
Gratitude,5,26.66,3,Nonfiction
Girl in the Blue Coat,2,46.83,3,Historical Fiction
Gone Girl,5,37.6,3,Default
Golden (Heart of Dread #3),4,42.21,3,Young Adult
"Fruits Basket, Vol. 3 (Fruits Basket #3)",2,45.17,3,Sequential Art
"Friday Night Lights: A Town, a Team, and a Dream",3,51.22,3,Sports and Games
Fire Bound (Sea Haven/Sisters of the Heart #5),4,21.28,3,Add a comment
Fellside,1,38.62,3,Default
Extreme Prey (Lucas Davenport #26),3,25.4,3,Mystery
Eclipse (Twilight #3),1,18.74,3,Default
Eragon (The Inheritance Cycle #1),3,43.87,3,Fantasy
Dune (Dune #1),1,54.86,3,Science Fiction
Dracula,3,52.62,3,Default
Do Androids Dream of Electric Sheep? (Blade Runner #1),1,51.48,3,Science Fiction
Fifty Shades Freed (Fifty Shades #3),5,15.36,3,Adult Fiction
Disrupted: My Misadventure in the Start-Up Bubble,5,15.28,3,Nonfiction
Dead Wake: The Last Crossing of the Lusitania,5,39.24,3,Default
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",1,17.81,3,Default
Darkfever (Fever #1),1,56.02,3,Fantasy
Dark Places,5,23.9,3,Default
Crazy Rich Asians (Crazy Rich Asians #1),5,49.13,3,Fiction
Counting Thyme,1,10.62,3,Childrens
Cosmos,2,36.17,3,Add a comment
Civilization and Its Discontents,2,59.95,3,Psychology
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,2,37.35,3,Parenting
Career of Evil (Cormoran Strike #3),2,24.72,3,Mystery
Cinder (The Lunar Chronicles #1),1,26.09,3,Young Adult
Breaking Dawn (Twilight #4),5,35.28,3,Default
Brave Enough,5,51.32,3,Nonfiction
Boy Meets Boy,3,21.12,3,Young Adult
Blink: The Power of Thinking Without Thinking,5,21.74,3,Nonfiction
Black Flags: The Rise of ISIS,1,40.87,3,Nonfiction
"Black Butler, Vol. 1 (Black Butler #1)",1,49.31,3,Sequential Art
Big Little Lies,1,22.11,3,Fiction
Between Shades of Gray,5,20.79,3,Historical Fiction
Best of My Love (Fool's Gold #20),2,27.41,3,Romance
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",2,27.35,3,Nonfiction
Beowulf,2,38.35,3,Classics
Beautiful Creatures (Caster Chronicles #1),5,21.55,3,Default
Ash,4,22.06,3,Fantasy
Awkward,2,38.02,3,Sequential Art
Are We Smart Enough to Know How Smart Animals Are?,1,56.58,3,Nonfiction
Are We There Yet?,3,10.66,3,Childrens
Annie on My Mind,5,36.83,3,Young Adult
And Then There Were None,2,35.01,3,Classics
A Walk in the Woods: Rediscovering America on the Appalachian Trail,4,30.48,3,Nonfiction
A Visit from the Goon Squad,5,14.08,3,Default
A Heartbreaking Work of Staggering Genius,5,54.29,3,Autobiography
"The Suffragettes (Little Black Classics, #96)",2,11.89,2,Nonfiction
8 Keys to Mental Health Through Exercise,1,31.04,3,Psychology
A Storm of Swords (A Song of Ice and Fire #3),2,31.22,3,Fantasy
#GIRLBOSS,1,50.96,3,Add a comment
The Sense of an Ending,3,31.38,2,Add a comment
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",1,54.81,2,Sequential Art
The Course of Love,3,16.78,2,Fiction
Sugar Rush (Offensive Line #2),1,24.42,2,Sports and Games
New Moon (Twilight #2),4,12.86,2,Young Adult
Life,5,31.58,2,Music
"Run, Spot, Run: The Ethics of Keeping Pets",1,20.02,2,Philosophy
"Saga, Volume 2 (Saga (Collected Editions) #2)",3,11.75,2,Sequential Art
Girl Online On Tour (Girl Online #2),1,53.47,2,Young Adult
Kindle Paperwhite User's Guide,3,34.0,2,Nonfiction
H is for Hawk,5,57.42,2,Nonfiction
"Fruits Basket, Vol. 2 (Fruits Basket #2)",5,11.64,2,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",4,18.51,1,Sequential Art
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),4,52.88,2,Childrens
While You Were Mine,5,41.32,1,Historical Fiction
Where Lightning Strikes (Bleeding Stars #3),3,39.77,1,Romance
When I'm Gone,3,51.96,1,Fiction
"Vampire Knight, Vol. 1 (Vampire Knight #1)",1,15.4,1,Paranormal
Twenty Love Poems and a Song of Despair,4,30.95,1,Poetry
Vampire Girl (Vampire Girl #1),2,53.82,1,Fantasy
Travels with Charley: In Search of America,5,57.82,1,Nonfiction
Three Wishes (River of Time: California #1),2,44.18,1,Science Fiction
This One Moment (Pushing Limits #1),1,48.71,1,Romance
The Zombie Room,5,19.69,1,Default
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",2,36.52,1,Sequential Art
Ways of Seeing,5,39.51,1,Art
The Tumor,5,41.56,1,Nonfiction
The Story of Hong Gildong,4,43.19,1,Classics
The Silent Wife,5,12.34,1,Fiction
The Silent Twin (Detective Jennifer Knight #3),3,36.25,1,Fantasy
The Selfish Gene,1,29.45,1,Science
The Secret Healer,3,34.56,1,Historical Fiction
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",3,54.12,1,Sequential Art
The Odyssey,3,29.64,1,Add a comment
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,1,Mystery
The Nicomachean Ethics,1,36.34,1,Philosophy
The Name of the Wind (The Kingkiller Chronicle #1),3,50.59,1,Default
The Mirror & the Maze (The Wrath and the Dawn #1.5),1,29.38,1,Fantasy
The Little Prince,2,45.42,1,Classics
The Light of the Fireflies,1,54.43,1,Add a comment
The Republic,3,33.78,1,Add a comment
The Last Girl (The Dominion Trilogy #1),2,36.26,1,Science Fiction
The Iliad,1,16.16,1,Add a comment
The Hook Up (Game On #1),5,36.29,1,New Adult
The Haters,5,27.89,1,Young Adult
The Girl You Lost,5,12.29,1,Mystery
The Girl In The Ice (DCI Erika Foster #1),3,15.85,1,Mystery
The End of the Jesus Era (An Investigation #1),1,14.4,1,Nonfiction
The Complete Maus (Maus #1-2),3,10.64,1,Sequential Art
The Communist Manifesto,3,14.76,1,Add a comment
The Bhagavad Gita,3,57.49,1,Religion
The Bette Davis Club,3,30.66,1,Fiction
The Art of Not Breathing,4,40.83,1,Young Adult
Taking Shots (Assassins #1),2,18.88,1,Default
Starlark,3,25.83,1,Historical Fiction
The Edge of Reason (Bridget Jones #2),4,19.18,1,Womens Fiction
Sister Sable (The Mad Queen #1),3,13.33,1,Fantasy
"Skip Beat!, Vol. 01 (Skip Beat! #1)",3,42.12,1,Sequential Art
Shatter Me (Shatter Me #1),1,42.4,1,Default
Shameless,3,58.35,1,New Adult
Shadow Rites (Jane Yellowrock #10),4,21.72,1,Fantasy
Settling the Score (The Summer Games #1),2,44.91,1,Sports and Games
Sense and Sensibility,1,37.46,1,Classics
"Saga, Volume 1 (Saga (Collected Editions) #1)",1,28.48,1,Sequential Art
"Rhythm, Chord & Malykhin",2,28.34,1,Romance
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",5,46.96,1,Sequential Art
Paradise Lost (Paradise #1),1,24.96,1,Default
"Paper Girls, Vol. 1 (Paper Girls #1-5)",4,21.71,1,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",3,29.87,1,Sequential Art
Origins (Alphas 0.5),1,28.99,1,Fantasy
One Second (Seven #7),2,52.94,1,Fantasy
Old Records Never Die: One Man's Quest for His Vinyl and His Past,2,55.66,1,Music
Off Sides (Off #1),5,39.45,1,New Adult
Of Mice and Men,2,47.11,1,Classics
Myriad (Prentor #1),4,58.75,1,Fantasy
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",4,39.39,1,Sequential Art
My Perfect Mistake (Over the Top #1),2,38.92,1,Romance
Meditations,2,25.89,1,Philosophy
Matilda,1,28.34,1,Childrens
Lost Among the Living,4,27.7,1,Historical Fiction
On the Road (Duluoz Legend),3,32.36,1,Default
Kitchens of the Great Midwest,5,57.2,1,Fiction
Lord of the Flies,3,24.89,1,Add a comment
Listen to Me (Fusion #1),3,58.99,1,Romance
Jane Eyre,5,38.43,1,Default
Imperfect Harmony,4,34.74,1,Romance
Icing (Aces Hockey #2),4,40.44,1,Sports and Games
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",3,45.24,1,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",4,56.76,1,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",5,40.28,1,Sequential Art
Frankenstein,2,38.0,1,Default
Forever Rockers (The Rocker #12),3,28.8,1,Music
Fighting Fate (Fighting #6),3,39.24,1,Romance
Emma,2,32.93,1,Classics
"Eat, Pray, Love",3,51.32,1,Nonfiction
Deep Under (Walker Security #1),5,47.09,1,Romance
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),4,34.96,1,Science Fiction
Choosing Our Religion: The Spiritual Lives of America's Nones,4,28.42,1,Religion
Charlie and the Chocolate Factory (Charlie Bucket #1),3,22.85,1,Childrens
Charity's Cross (Charles Towne Belles #4),1,41.24,1,Romance
Bright Lines,5,39.07,1,Fiction
Bridget Jones's Diary (Bridget Jones #1),1,29.82,1,Womens Fiction
Bounty (Colorado Mountain #7),4,37.26,1,Romance
Blood Defense (Samantha Brinkman #1),3,20.3,1,Mystery
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",5,34.65,1,Sequential Art
Beyond Good and Evil,1,43.38,1,Philosophy
Alice in Wonderland (Alice's Adventures in Wonderland #1),1,55.53,1,Classics
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",4,57.06,1,Sequential Art
1st to Die (Women's Murder Club #1),1,53.98,1,Mystery
A Spy's Devotion (The Regency Spies of London #1),5,16.97,1,Historical Fiction
"1,000 Places to See Before You Die",5,26.08,1,Travel
title,rating,price,stock,category
A Light in the Attic,3,51.77,22,Poetry
Sharp Objects,4,47.82,20,Mystery
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,19,Default
Sapiens: A Brief History of Humankind,5,54.23,20,History
The Dirty Little Secrets of Getting Your Dream Job,4,33.34,19,Business
Soumission,1,50.1,20,Fiction
Tipping the Velvet,1,53.74,20,Historical Fiction
The Requiem Red,1,22.65,19,Young Adult
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,19,Default
The Black Maria,1,52.15,19,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,19,Default
Shakespeare's Sonnets,4,20.66,19,Poetry
Olio,1,23.88,19,Poetry
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,19,Sequential Art
Rip it Up and Start Again,5,35.02,19,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,19,Music
Set Me Free,5,17.46,19,Young Adult
Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,19,Science Fiction
Libertarianism for Beginners,2,51.33,19,Politics
It's Only the Himalayas,2,45.17,19,Travel
How Music Works,2,37.32,19,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,19,Food and Drink
Black Dust,5,34.53,19,Romance
In Her Wake,1,12.84,19,Thriller
Chase Me (Paris Nights #2),5,25.27,19,Romance
Birdsong: A Story in Pictures,3,54.64,19,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,19,Default
Aladdin and His Wonderful Lamp,3,53.13,19,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,40.3,18,Nonfiction
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,18,Spirituality
Wall and Piece,4,44.18,18,Art
The Elephant Tree,5,23.82,18,Thriller
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,18,Nonfiction
The Bear and the Piano,1,36.89,18,Childrens
Sophie's World,5,15.94,18,Philosophy
Penny Maybe,3,33.29,18,Default
"In a Dark, Dark Wood",1,19.63,18,Mystery
Maude (1883-1993):She Grew Up with the country,2,18.02,18,Default
You can't bury them all: Poems,2,33.63,17,Poetry
Slow States of Collapse: Poems,3,57.31,17,Poetry
Behind Closed Doors,4,52.22,18,Thriller
Reasons to Stay Alive,2,26.41,17,Nonfiction
Private Paris (Private #10),5,47.61,17,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,17,Nonfiction
When We Collided,1,31.77,16,Contemporary
Without Borders (Wanderlove #1),2,45.07,16,New Adult
"We Love You, Charlie Freeman",5,50.27,16,Fiction
Untitled Collection: Sabbath Poems 2014,4,14.27,16,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,16,Nonfiction
Unicorn Tracks,3,18.78,16,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,16,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,16,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,16,Nonfiction
This One Summer,4,19.49,16,Sequential Art
Thirst,5,17.27,16,Fiction
The Torch Is Passed: A Harding Family Story,1,19.09,16,Add a comment
The Secret of Dreadwillow Carse,1,56.13,16,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,16,Food and Drink
The Past Never Ends,4,56.5,16,Mystery
The Natural History of Us (The Fine Art of Pretending #2),3,45.22,16,Young Adult
The Nameless City (The Nameless City #1),4,38.16,16,Sequential Art
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,16,Nonfiction
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89,16,Add a comment
The Murder That Never Was (Forensic Instincts #5),3,54.11,16,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96,16,Science
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,16,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,16,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,16,Nonfiction
The Death of Humanity: and the Case for Life,4,58.11,16,Philosophy
The Art Forger,3,40.76,16,Add a comment
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,16,Spirituality
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,16,Health
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73,16,History
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83,16,Nonfiction
Soul Reader,2,39.58,16,Default
Security,2,39.25,16,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,16,Fantasy
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,16,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,16,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,16,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83,16,Nonfiction
Princess Between Worlds (Wide-Awake Princess #5),5,13.34,16,Fantasy
"Pop Gun War, Volume 1: Gift",1,18.97,16,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,36.28,16,History
Patience,3,10.16,16,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,16,Sequential Art
On a Midnight Clear,3,14.07,16,Add a comment
Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,16,Self Help
Obsidian (Lux #1),2,14.86,16,Young Adult
My Paris Kitchen: Recipes and Stories,2,33.37,16,Food and Drink
Masks and Shadows,2,56.4,16,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,14.02,16,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes",1,40.11,16,Food and Drink
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,16,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,19.92,16,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,46.91,16,Sequential Art
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,53.9,16,Add a comment
Join,5,35.67,16,Science Fiction
In the Country We Love: My Family Divided,4,22.0,16,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,57.36,16,Science
Her Backup Boyfriend (The Sorensen Family #1),1,33.97,16,Romance
How to Be Miserable: 40 Strategies You Already Use,1,46.03,16,Self Help
I am a Hero Omnibus Volume 1,3,54.63,16,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2,29.17,16,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",2,22.11,16,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,16,Historical Fiction
First and First (Five Boroughs #3),4,15.97,16,Romance
Fifty Shades Darker (Fifty Shades #2),1,21.96,16,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,2,54.35,16,Nonfiction
Crown of Midnight (Throne of Glass #2),3,43.29,16,Fantasy
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2,37.97,16,Religion
Danganronpa Volume 1,4,51.99,16,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",4,36.72,16,Sequential Art
Camp Midnight,4,17.08,16,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,5,29.14,16,Nonfiction
Burning,3,28.81,16,Young Adult
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,37.92,16,Sequential Art
Bossypants,2,49.46,16,Default
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2,28.09,16,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,1,30.81,16,Nonfiction
A World of Flavor: Your Gluten Free Passport,1,42.95,16,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5,56.76,16,Default
A Flight of Arrows (The Pathfinders #2),5,55.53,16,Historical Fiction
A Murder in Time,1,16.64,16,Mystery
You Are What You Love: The Spiritual Power of Habit,4,21.87,15,Religion
A Fierce and Subtle Poison,4,28.13,16,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),1,52.37,16,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,5,54.0,16,Christian
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,43.3,15,Science Fiction
Tuesday Nights in 1980,2,21.04,15,Fiction
Throne of Glass (Throne of Glass #1),3,35.07,15,Fantasy
Tracing Numbers on a Train,3,41.6,15,Default
The Vacationers,4,42.15,15,Fiction
Thirteen Reasons Why,1,52.72,15,Default
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,1,59.64,15,History
The Wedding Dress,1,24.12,15,Romance
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,4,58.08,15,Childrens
The Third Wave: An Entrepreneur’s Vision of the Future,5,12.61,15,Business
The Stranger,4,17.44,15,Philosophy
